Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/19/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.64324626,84.81483353,84.95270894,85.09781365,85.44758234,85.69573107,85.59435436,85.47163519,85.54945389,85.74388068,85.89538553,86.0434232,86.24408288,86.43137491,86.60309311,86.76004308,86.74580594,86.62910489,86.4954678,86.39642495,86.10195313,86.27953539,86.02012213,86.0112017,85.66698463,85.30394284,84.97569991,84.63670479,84.22464028,83.84356169,83.22410075,83.48432011,83.46226639,86.17857985,86.05938365
Afghanistan,AFG,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.71628726,19.65730842,19.55446781,19.41810641,19.24197157,19.0413066,18.82123331,18.57881105,18.33160272,18.10074174,17.91625486,17.80278376,17.76210284,17.78563902,17.87437186,18.02224627,18.24278331,18.55370543,18.94730175,19.38525267,19.85569691,20.32556712,20.78641598,22.22366305,23.75436203,25.37977373,27.10560643,28.93693546,27.7516252,26.37539987,24.67865169,21.79586256,7.346386614,7.339854484,7.30468135
Africa Western and Central,AFW,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.59315936,84.53361281,84.48433409,84.32267907,84.19356383,84.11384256,84.1162241,84.08868836,84.05479761,84.0848432,84.20963192,84.34552867,84.65194594,84.76547611,84.91150052,84.99071599,85.06442654,85.26899189,85.37021829,85.50732824,85.64810505,85.83897258,85.97193819,85.91365957,85.86871716,85.69284462,85.28654008,85.11294362,84.94747641,84.85636829,84.32770923,84.85025939,84.75061098,87.75379082,87.67024506
Angola,AGO,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.68568391,95.46981985,95.27172748,95.09375512,94.94057725,94.8670898,94.86344841,94.90557972,94.97917951,95.0614331,95.15956308,95.27118195,95.38294542,95.49612148,95.6009357,95.67902016,95.73517311,95.76938662,95.77423767,95.75456767,95.73490315,93.69954568,93.79657907,93.89916072,94.00484176,94.11382818,94.22850713,94.34526867,94.46795335,94.59406916,94.67347018,95.60348138,93.61759288,93.40272463,93.30747838
Albania,ALB,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.92793487,70.99256935,71.26691462,70.8819611,70.57100238,70.14718096,69.88435019,70.19520539,69.93292266,69.61664174,69.46434046,69.30530396,69.23359003,69.8738375,70.59075216,71.3862613,72.26593965,73.23415347,74.29602181,71.29338029,73.25408618,77.71961732,74.82035287,71.26487296,69.43623928,73.32430708,76.66231272,74.50974517,76.11904938,77.83365684,77.56052712,78.42180037,78.22524894,78.26400329,78.50708606
Andorra,AND,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6622325,26.80841211,27.38003495,27.11343043,27.63004244,27.54237092,27.62097492,27.50041127,27.49326989,27.98516477,28.34100626,28.5915526,27.92704661,28.1938174,28.40502409,28.64364153,29.01345168,29.95217828,29.46699783,30.00208538,30.02595252,30.20960762,30.19950065,30.4822036,30.79925389,31.31511205,31.61140029,30.86829595,29.58065416,28.93724889,29.24511954,29.39160988,29.12385924,29.69898695,29.60876125
United Arab Emirates,ARE,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.67466714,33.33740777,33.6788368,34.12317581,34.04753567,33.9877314,34.70508741,35.54912659,36.35950725,37.12982027,37.86105564,38.50837478,39.1066981,39.65318815,40.13636864,40.61046194,41.67074351,42.96799435,44.43959497,45.9119704,47.00453758,47.97354809,49.00174178,50.0929459,51.20343217,52.30528784,53.28189089,55.27324035,55.44545897,59.32366096,65.4590459,55.92356123,59.42231879,59.76529757,60.36445198
Argentina,ARG,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.68407689,58.56548611,60.45889252,62.36022076,63.93849467,64.42213191,65.69451638,67.12442945,67.90793042,67.66163851,67.58559835,66.9957307,65.51483468,66.22833153,66.9628617,65.79031999,66.74270685,66.09271523,65.43949461,66.47591018,65.04760346,64.81075966,65.59693139,65.39512155,65.85193106,66.45121576,67.06602018,67.6939245,69.74427383,70.44138572,70.51346227,70.95262296,72.59037409,73.60864005,73.72870733
